country,city,hospital,department,doctor_name,source_url
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr N Sastri",https://www.apollohospitals.com/doctors/cardiothoracic-and-vascular-surgery/delhi/dr-n-sastri
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr Mahesh Chandra Garg",https://www.apollohospitals.com/doctors/cardiologist/delhi/dr-mahesh-chandra-garg
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr Prashanta Kumar Ghosh",https://www.apollohospitals.com/doctors/cardiologist/delhi/dr-prashanta-kumar-ghosh
India,Kolkata,"Apollo Multispeciality Hospitals, EM Bypass, Kolkata","Cardiac Care","Dr A K Bardhan",https://www.apollohospitals.com/doctors/cardiologist/kolkata/dr-a-k-bardhan
India,Hyderabad,"Apollo Health City, Jubilee Hills, Hyderabad","Cardiac Care","Dr Vijay Dikshit",https://www.apollohospitals.com/doctors/cardiothoracic-and-vascular-surgery/hyderabad/dr-vijay-dikshit
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr Prof Sanjay Tyagi",https://www.apollohospitals.com/doctors/cardiologist/delhi/dr-prof-sanjay-tyagi
India,Chennai,"Apollo Hospitals, Greams Road, Chennai","Cardiac Care","Dr Sathyamurthy I",https://www.apollohospitals.com/doctors/cardiologist/chennai/dr-sathyamurthy-i
India,Hyderabad,"Apollo Health City, Jubilee Hills, Hyderabad","Cardiac Care","Dr Venkat Rayudu Nekkanti",https://www.apollohospitals.com/doctors/cardiologist/hyderabad/dr-venkat-rayudu-nekkanti
India,Chennai,"Apollo Speciality Hospitals, Teynampet, Chennai","Cardiac Care","Dr A L Narayanan",https://www.apollohospitals.com/doctors/cardiologist/chennai/dr-a-l-narayanan
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr Rajeev Kumar Rajput",https://www.apollohospitals.com/doctors/cardiologist/delhi/dr-rajeev-kumar-rajput
India,Kolkata,"Apollo Multispeciality Hospitals, EM Bypass, Kolkata","Cardiac Care","Dr Bhabatosh Biswas",https://www.apollohospitals.com/doctors/cardiothoracic-and-vascular-surgery/kolkata/dr-bhabatosh-biswas
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr Sunil Modi",https://www.apollohospitals.com/doctors/cardiologist/delhi/dr-sunil-modi
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr S K Gupta",https://www.apollohospitals.com/doctors/cardiologist/delhi/dr-s-k-gupta
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr K K Kapur",https://www.apollohospitals.com/doctors/cardiologist/delhi/dr-k-k-kapur
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr Bhaba Nanda Das",https://www.apollohospitals.com/doctors/cardiothoracic-and-vascular-surgery/delhi/dr-bhaba-nanda-das
India,Rourkela,"Apollo Super Speciality Hospital, Rourkela","Cardiac Care","Dr G. C. Patri",https://www.apollohospitals.com/doctors/cardiologist/rourkela/dr-g-c-patri
India,Bhubaneswar,"Apollo Hospitals, Bhubaneswar","Cardiac Care","Dr Prasant Kumar Sahoo",https://www.apollohospitals.com/doctors/cardiologist/bhubaneswar/dr-prasant-kumar-sahoo
India,Hyderabad,"Apollo Hospitals, Secunderabad, Hyderabad","Cardiac Care","Dr Col M Sitaram",https://www.apollohospitals.com/doctors/cardiologist/hyderabad/dr-col-m-sitaram
India,Mysore,"Apollo BGS Hospitals, Mysore","Cardiac Care","Dr Arun Srinivas",https://www.apollohospitals.com/doctors/cardiologist/mysore/dr-arun-srinivas
India,Bhubaneswar,"Apollo Hospitals, Bhubaneswar","Cardiac Care","Dr P C Rath",https://www.apollohospitals.com/doctors/cardiologist/bhubaneswar/dr-p-c-rath
India,Hyderabad,"Apollo Health City, Jubilee Hills, Hyderabad","Cardiac Care","Dr Badri Narayana Tumulu",https://www.apollohospitals.com/doctors/cardiologist/hyderabad/dr-badri-narayana-tumulu
India,Chennai,"Apollo Hospitals, Greams Road, Chennai","Cardiac Care","Dr Robert Mao",https://www.apollohospitals.com/doctors/cardiologist/chennai/dr-robert-mao
India,Lucknow,"Apollo Hospitals Lucknow","Cardiac Care","Dr Ajay Bahadur",https://www.apollohospitals.com/doctors/cardiologist/lucknow/dr-ajay-bahadur
India,Bangalore,"Apollo Speciality Hospital, Jayanagar, Bangalore","Cardiac Care","Dr Ramamurthy Bingi",https://www.apollohospitals.com/doctors/cardiologist/bangalore/dr-ramamurthy-bingi
India,Hyderabad,"Apollo Health City, Jubilee Hills, Hyderabad","Cardiac Care","Dr Pratap Chandra Rath",https://www.apollohospitals.com/doctors/cardiologist/hyderabad/dr-pratap-chandra-rath
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr Col V Hariharan",https://www.apollohospitals.com/doctors/cardiologist/delhi/dr-col-v-hariharan
India,Noida,"Apollo Hospitals Noida","Cardiac Care","Dr V Hariharan",https://www.apollohospitals.com/doctors/cardiologist/noida/dr-v-hariharan
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr Anoop K Ganjoo",https://www.apollohospitals.com/doctors/cardiothoracic-and-vascular-surgery/delhi/dr-anoop-k-ganjoo
India,Delhi,"Apollo Hospitals, Delhi","Cardiac Care","Dr K K Saxena",https://www.apollohospitals.com/doctors/cardiologist/delhi/dr-k-k-saxena
India,Hyderabad,"Apollo Health City, Jubilee Hills, Hyderabad","Cardiac Care","Dr Tripti Deb",https://www.apollohospitals.com/doctors/cardiologist/hyderabad/dr-tripti-deb
India,Chennai,"Apollo Hospitals, Greams Road, Chennai","Cardiac Care","Dr Dillip Kumar Mishra",https://www.apollohospitals.com/doctors/cardiothoracic-and-vascular-surgery/chennai/dr-dillip-kumar-mishra
India,Mysore,"Apollo BGS Hospitals, Mysore","Cardiac Care","Dr Keshava Murthy Ganapathy Bhat",https://www.apollohospitals.com/doctors/cardiologist/mysore/dr-keshava-murthy-ganapathy-bhat
India,Bangalore,"Apollo Hospitals, Bannerghatta Road, Bangalore","Cardiac Care","Dr Ramesh B",https://www.apollohospitals.com/doctors/cardiologist/bangalore/dr-ramesh-b
India,Kolkata,"Apollo Multispeciality Hospitals, EM Bypass, Kolkata","Cardiac Care","Dr Swapan Kumar De",https://www.apollohospitals.com/doctors/cardiologist/kolkata/dr-swapan-kumar-de
